problem_id,item_id,verdict,labels,rationale
1615E,93c29613eb,WA,AE1.1,Uses an incorrect mathematical scoring/optimization formula.
1615E,8d7a916121,WA,AE1.1,Uses an incorrect mathematical scoring/optimization formula.
1615E,df0591710b,RE,GE3.1,Traversal/control-state handling causes a runtime failure.
1615F,5ad6760d66,WA,AE1.1,Uses an incorrect combinatorial/DP-derived formula.
1615F,79b998f617,WA,AE1.1,Uses an incorrect combinatorial/DP-derived formula.
1615F,bcda3f7f77,WA,AE1.1,Uses an incorrect combinatorial/DP-derived formula.
1615H,e349b17b61,WA,GE1.1,"Greedily fixes vertices to successive sorted score levels with repeated min-cuts, but the task is a global minimum-L1 isotonic regression on a DAG, not this peeling construction."
1615H,c25274b6bf,TLE,GE1.3,The chosen approach is too expensive for the full constraints.
1615H,a8ec806d94,WA,GE1.1,"Collapses SCCs to medians and then hand-waves the rest as isotonic regression, which is not a valid algorithm for the full minimum-adjustment problem on the constraint DAG."
1615H,ec29bad7fe,WA,GE4.1,"The divide-and-conquer min-cut code stores final scores in `int f[]`, but the statement explicitly allows optimal `b_i` values up to `1e15`, so truncation can corrupt the answer."
1617C,19936b4bb8,WA,AE1.1,Uses the wrong mathematical/greedy condition for when a value can be reduced to a missing permutation element.
1617C,2a7875578e,WA,AE1.1,Uses the wrong mathematical/greedy condition for when a value can be reduced to a missing permutation element.
1617C,a287988df1,RE,GE2.1,Invalid boundary or state handling causes a runtime failure.
1617C,f5d0c91239,WA,AE1.1,Uses the wrong mathematical/greedy condition for when a value can be reduced to a missing permutation element.
1618B,24e2b26d3d,WA,GE1.2,The code misinterprets an important requirement or condition of the problem.
1618B,d60ceb8401,WA,GE1.2,The code misinterprets an important requirement or condition of the problem.
1618B,bd620ce8c4,RE,GE2.1,Invalid boundary or state handling causes a runtime failure.
1618C,0109091f18,WA,AE1.1,"Computes the candidate divisor/GCD incorrectly, so the alternating divisibility test fails."
1618C,409665ff1a,RE,GE2.1,Invalid boundary or state handling causes a runtime failure.
1618C,cc102c16d8,WA,GE6.2,Produces extra debugging or non-answer output.
1618C,50fb18a88c,WA,AE1.1,"Computes the candidate divisor/GCD incorrectly, so the alternating divisibility test fails."
1618C,9277160393,WA,AE1.1,"Computes the candidate divisor/GCD incorrectly, so the alternating divisibility test fails."
1618D,08025b38c4,WA,AE1.1,The score formula / pairing logic is mathematically incorrect for minimizing the total.
1618D,bbee1d8d12,TLE,GE1.3,The chosen approach is too expensive for the full constraints.
1618D,3d5ce53a07,WA,AE1.1,The score formula / pairing logic is mathematically incorrect for minimizing the total.
1618D,3fb928cf30,WA,AE1.1,The score formula / pairing logic is mathematically incorrect for minimizing the total.
1618D,ce028ae4a5,WA,AE1.1,The score formula / pairing logic is mathematically incorrect for minimizing the total.
1618D,4ec9cc542f,WA,AE1.1,The score formula / pairing logic is mathematically incorrect for minimizing the total.
1618F,0edf69c33e,TLE,GE1.3,The chosen approach is too expensive for the full constraints.
1618F,27752d1a12,WA,AE1.1,Uses an incorrect mathematical derivation or formula.
1618F,acceef8c79,TLE,GE1.3,The chosen approach is too expensive for the full constraints.
1618F,f01e10f993,CE,GE5.1,Compilation fails: error: expected primary-expression before 'long'
1618G,24b1a3efc0,WA,AE2.1,Uses a greedy exchange/matching rule that is not globally optimal.
1618G,4a74e2d3ab,WA,AE2.1,Uses a greedy exchange/matching rule that is not globally optimal.
1618G,5a0706e2b2,WA,AE2.1,Uses a greedy exchange/matching rule that is not globally optimal.
1618G,0239601b7b,WA,AE2.1,Uses a greedy exchange/matching rule that is not globally optimal.
1619A,af48f09086,WA,GE1.2,"Checks whether the string is periodic with any divisor length, not whether it is exactly two identical halves."
1619A,4438c1279f,WA,GE6.2,"Prints extra debug substrings and even outputs ""N0"" instead of ""NO"", violating the required output format."
1619B,d0f0fdc012,WA,GE4.2,"Computes floor roots through floating-point sqrt/cbrt and implicit truncation, which can miscount perfect powers on boundaries."
1619B,0a213dce08,WA,GE2.1,"Handles the contribution of 1 incorrectly, so small cases like n=2 are undercounted."
1619C,2e3886bd20,CE,GE5.1,Contains compile-time errors.
1619C,21fbed1799,WA,GE1.2,Treats the task like ordinary addition/carry instead of Tanya's digit-block sum process.
1619C,0b3c85b4bf,WA,GE1.2,The code misinterprets an important requirement or condition of the problem.
1619C,a59b1c529a,CE,GE5.1,Contains compile-time errors.
1619F,8096087ced,WA,AE1.1,Uses an incorrect mathematical derivation or formula.
1619F,569b6683fa,WA,AE1.1,Uses an incorrect mathematical derivation or formula.
1619F,609c26c913,WA,AE1.1,Uses an incorrect mathematical derivation or formula.
1619H,220b3f7127,WA,GE6.2,The type-2 query handler is left unfinished and produces no answer for queries that require output.
1620A,5e1e3f47b6,WA,GE1.2,"Uses only the first/last characters and the n=2 case, ignoring the real consistency condition on the whole cycle."
1620A,a1d2211033,WA,GE1.2,"Treats the presence of any E as impossible, which misunderstands the consistency condition completely."
1620A,2816d0acd0,WA,GE1.2,"Decides feasibility only from whether the first and last characters match, ignoring the rest of the cycle constraints."
1620B,fab1ff5cc1,WA,AE1.1,Uses the wrong triangle-area formula; the optimum depends on side span times the opposite side length.
1620B,a82a4e183c,WA,AE1.1,Uses the wrong triangle-area formula; the optimum depends on side span times the opposite side length.
1620B,9184014705,WA,AE1.1,Uses the wrong triangle-area formula; the optimum depends on side span times the opposite side length.
1620B,fd8d9435a4,WA,AE1.1,Uses the wrong triangle-area formula; the optimum depends on side span times the opposite side length.
1620B,cb89a8c338,TLE,GE1.3,The chosen approach is too expensive for the full constraints.
1620B,9895527757,WA,AE1.1,Uses the wrong triangle-area formula; the optimum depends on side span times the opposite side length.
1620C,26475c1bd0,WA,AE1.1,"Decodes `x` by handling each `*` separately, but distinct BA-strings are determined by grouped `*` blocks with `(block_len*k+1)` choices and mixed-radix reconstruction."
1620C,9a5170b5e5,TLE,GE1.3,The enumeration/reconstruction strategy is too slow and heavy for the limits.
1620C,36bc59c4a3,WA,AE1.1,"Counts the suffix choices as `(k+1)^{remaining_stars}`, ignoring that consecutive `*` characters collapse into one block and therefore do not contribute independently."
1620C,11ba9dbf19,TLE,GE1.3,The chosen approach is too expensive for the full constraints.
1620C,facf973233,WA,AE1.1,"Groups consecutive `*` blocks, but the mixed-radix decoding of `x` is off, so the chosen `b` counts for the blocks do not reconstruct the required lexicographic rank."
1620C,621cb21fc3,WA,AE1.1,"Treats the suffix after the selected block as if every remaining `*` must expand to exactly `k` `b`s, which is not the correct mixed-radix reconstruction of the x-th BA-string."
1620D,43b1e17104,WA,AE2.1,Optimizes per-price coin choices greedily instead of the shared multiset needed to pay every price.
1620D,f4d65c36dd,WA,AE2.1,Optimizes per-price coin choices greedily instead of the shared multiset needed to pay every price.
1620D,19075cbcd1,WA,AE2.1,Optimizes per-price coin choices greedily instead of the shared multiset needed to pay every price.
1620D,8bc1cba5bf,WA,AE2.1,Optimizes per-price coin choices greedily instead of the shared multiset needed to pay every price.
1620D,ed4134362f,WA,AE2.1,Optimizes per-price coin choices greedily instead of the shared multiset needed to pay every price.
1620E,ae37eaa4cf,WA,GE6.1,"Reads type-1 and type-2 queries with the same three-field format and never stores the queries at all, so it misparses the input stream and prints an empty result."
1620E,209aa6eae0,WA,GE1.2,"The reverse DSU merges values that happen to share the same future image, but a replace `x -> y` should affect only current occurrences of `x`, not all values with that final representative."
1620E,9d19303964,WA,GE1.2,"When processing forward, it stores `find(x)` for a new append, incorrectly treating earlier replacements of `x` as if they also changed later freshly appended `x` values."
1620E,c515b9fe13,WA,GE1.2,"Its lazy `to[]` mapping treats value replacement as a permanent rename of the label, so later appends of `x` are wrongly affected by earlier `x -> y` operations."
1620E,7ba96fd8c0,WA,GE1.2,"Keeps only the last direct replacement for each value and applies it once at the end, ignoring transitive chains and the fact that replacements affect existing occurrences only."
1620F,8dda62a80c,WA,AE5.2,The dynamic-programming transition logic is incorrect.
1620F,5dfe26dda7,WA,AE5.2,The dynamic-programming transition logic is incorrect.
1620F,706a7e9f40,WA,AE5.2,The dynamic-programming transition logic is incorrect.
1620F,6239c3af0e,RE,GE2.1,Invalid boundary or state handling causes a runtime failure.
1620G,f32edbf515,WA,AE1.1,Uses an incorrect mathematical derivation or formula.
1620G,798fa185b1,WA,AE1.1,Uses an incorrect mathematical derivation or formula.
1620G,4b170755d7,WA,AE1.1,Uses an incorrect mathematical derivation or formula.
1620G,bcae69e404,RE,GE2.1,Invalid boundary or state handling causes a runtime failure.
1622A,c7a59278fc,WA,GE1.2,"Assumes any pair of equal sticks is enough, ignoring that the remaining stick must also be splittable to form the second pair."
1622A,db0f3ff272,WA,GE2.1,"Misses the valid case where the two smaller sticks are equal and the largest stick is even, such as 3 3 4."
1622A,4cec720a74,WA,GE2.1,"Its pairing check rejects the all-four-equal case after splitting, so cases like 2 2 4 are missed."
1622A,191889443a,WA,GE1.2,Uses an unrelated triangle-style condition instead of the rectangle split conditions.
1622A,de3fb67824,WA,GE2.1,Checks only whether one stick equals the sum of the other two and misses the equal-pair-plus-even-third case.
1622A,6155954f6a,CE,GE5.1,Contains compile-time syntax errors.
1622B,8f02ab65bc,WA,AE2.1,"Greedily reorders the original ratings within liked/disliked groups instead of assigning the low ranks to 0s and high ranks to 1s, so the ordering constraint can fail."
1622B,9d45d6dde0,WA,AE2.1,Uses the wrong greedy construction: it places sorted groups contiguously and ignores the songs’ original positions when assigning new ranks.
1622C,1e6a849a2b,WA,GE1.1,"Searches over a simplified target value with an incorrect optimization strategy, so it misses the true minimum-operation construction."
1622D,1d5c42128c,TLE,GE1.3,The chosen approach is too expensive for the full constraints.
1622D,690fb0797d,WA,AE1.1,Uses an incorrect mathematical derivation or formula.
1622D,1c9bd8f5ac,WA,AE1.1,Uses an incorrect mathematical derivation or formula.
1622D,21fa4ea301,WA,AE1.1,Uses an incorrect mathematical derivation or formula.
1622D,fc3573b590,WA,AE1.1,Uses an incorrect mathematical derivation or formula.
1622F,4c89bfba9d,WA,AE1.1,Uses an incorrect mathematical derivation or formula.
1622F,eb0ad55520,TLE,GE1.3,The chosen approach is too expensive for the full constraints.
1622F,603ef62a02,WA,AE1.1,Uses an incorrect mathematical derivation or formula.
1622F,c04fc12a1f,WA,AE1.1,Uses an incorrect mathematical derivation or formula.
1623B,9361516fe3,WA,GE1.2,The code misinterprets an important requirement or condition of the problem.
1623B,43cf35d0b6,RE,GE3.1,Traversal/control-state handling causes a runtime failure.
1623B,eeb290f062,CE,GE5.1,"Compilation fails: error: no match for 'operator>>' (operand types are 'std::istream' {aka 'std::basic_istream<char>'} and 'std::pair<int, int>')"
1623B,7a5ffd25b3,WA,GE1.2,The code misinterprets an important requirement or condition of the problem.
1623B,d410a53014,WA,GE1.2,The code misinterprets an important requirement or condition of the problem.
1623D,05d247e67d,CE,GE5.1,Compilation fails: error: '__gcd' is not a member of 'std'
1623D,f0c087e959,TLE,GE1.3,The chosen approach is too expensive for the full constraints.
1623D,8b80712f50,WA,AE1.1,Uses an incorrect mathematical derivation or formula.
1623D,3d0f66dcfa,WA,AE1.1,Uses an incorrect mathematical derivation or formula.
1623E,635e30db60,WA,AE2.1,Uses an incorrect greedy choice rule.
1623E,bac7e7e9bd,WA,AE2.1,Uses an incorrect greedy choice rule.
1623E,54fd8fcab8,CE,GE5.1,Compilation fails: error: no match for 'operator==' (operand types are 'int' and 'std::string' {aka 'std::__cxx11::basic_string<char>'})
1623E,64bdcb78ab,CE,GE5.1,Compilation fails: error: use of local variable with automatic storage from containing function
